Idade,UsoMensal,Plano,SatisfacaoCliente,TempoContrato,ValorMensal,Churn
56,52,Premium,1,Curto,75.48,0
69,65,Basico,4,Curto,79.25,0
46,76,Standard,3,Longo,183.56,0
32,42,Basico,2,Longo,162.5,0
60,74,Standard,2,Longo,186.23,1
25,22,Standard,3,Medio,163.81,1
38,54,Basico,1,Medio,139.57,0
56,79,Basico,2,Medio,148.12,0
36,94,Basico,5,Longo,183.37,0
40,74,Premium,3,Curto,136.82,0
28,15,Standard,3,Longo,144.86,1
28,7,Premium,2,Medio,73.47,1
41,3,Premium,1,Medio,121.09,1
70,3,Basico,5,Longo,157.46,0
53,55,Premium,1,Longo,90.64,1
57,24,Basico,4,Medio,80.34,1
41,66,Standard,4,Medio,97.07,0
20,95,Basico,2,Medio,86.23,1
39,66,Premium,2,Longo,82.24,1
70,26,Premium,2,Medio,113.73,1
19,92,Basico,4,Medio,186.18,0
41,31,Basico,1,Curto,126.06,1
61,49,Premium,1,Longo,78.19,1
47,60,Standard,2,Curto,61.55,1
55,50,Standard,5,Curto,154.42,0
19,18,Basico,1,Medio,107.42,1
38,20,Standard,4,Longo,173.27,1
50,4,Premium,3,Medio,148.93,0
29,81,Basico,3,Longo,169.44,0
39,91,Premium,3,Curto,90.79,0
61,41,Premium,5,Longo,153.85,0
42,60,Standard,2,Medio,89.61,1
66,21,Basico,4,Medio,190.86,0
44,20,Basico,5,Medio,145.46,1
59,69,Standard,4,Longo,98.68,0
45,0,Premium,4,Curto,90.43,0
33,4,Premium,2,Curto,78.64,1
32,11,Premium,3,Longo,154.2,0
64,89,Premium,2,Medio,82.81,0
68,45,Basico,5,Curto,139.3,0
61,33,Basico,5,Medio,89.7,0
72,48,Standard,5,Longo,149.3,0
69,77,Standard,2,Medio,172.24,1
74,89,Basico,4,Curto,166.7,0
20,44,Basico,4,Curto,164.13,0
54,26,Premium,1,Medio,78.16,1
68,72,Premium,5,Longo,63.26,0
24,25,Standard,4,Medio,154.84,1
38,46,Basico,1,Longo,105.25,0
26,85,Standard,4,Medio,114.85,0
56,55,Basico,5,Curto,54.67,0
35,93,Premium,3,Longo,88.94,0
21,62,Standard,5,Longo,55.05,0
42,47,Standard,2,Longo,181.88,1
31,60,Basico,4,Curto,86.51,0
67,80,Premium,4,Medio,133.6,0
26,25,Standard,2,Curto,55.85,1
43,35,Premium,2,Longo,150.03,1
70,0,Standard,3,Medio,98.45,0
19,7,Premium,4,Curto,184.69,1
37,98,Basico,4,Longo,183.22,0
45,51,Standard,3,Longo,98.79,0
64,78,Standard,1,Curto,185.14,1
24,46,Premium,3,Curto,199.42,0
61,55,Premium,5,Curto,173.81,0
25,85,Standard,4,Longo,176.73,0
64,13,Basico,2,Curto,87.35,1
52,89,Premium,5,Longo,136.51,0
31,27,Premium,4,Curto,60.09,0
34,86,Premium,3,Longo,64.24,0
53,77,Standard,5,Longo,199.83,0
67,87,Standard,4,Medio,99.0,0
57,1,Standard,1,Curto,162.23,1
21,25,Standard,1,Curto,171.0,1
19,13,Basico,2,Longo,178.7,1
23,58,Basico,4,Longo,199.64,0
71,55,Standard,1,Longo,86.22,0
59,6,Basico,3,Medio,56.05,1
21,2,Premium,4,Medio,111.68,0
71,22,Premium,3,Longo,69.51,0
46,17,Premium,3,Curto,53.36,1
35,37,Standard,1,Curto,104.06,1
43,98,Premium,4,Medio,167.56,0
61,14,Basico,5,Medio,134.93,0
51,63,Standard,1,Longo,96.92,0
